ts,device_id,value
2025-09-12 00:30:02.053736+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.9
2025-09-12 01:00:01.980476+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.9
2025-09-12 01:30:01.903941+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.6
2025-09-12 02:00:02.249628+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.3
2025-09-12 02:30:02.020063+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.5
2025-09-12 03:00:02.163708+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.6
2025-09-12 03:30:01.808256+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.2
2025-09-12 04:00:01.999308+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.1
2025-09-12 04:30:02.020586+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.1
2025-09-12 05:00:02.126911+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.2
2025-09-12 05:30:01.684267+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.1
2025-09-12 06:00:02.139130+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.1
2025-09-12 06:30:01.924858+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.4
2025-09-12 07:00:02.154089+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.6
2025-09-12 07:30:01.999549+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.2
2025-09-12 08:00:01.779139+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.0
2025-09-12 08:30:01.951480+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.5
2025-09-12 09:00:01.799678+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.7
2025-09-12 09:30:02.209738+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.8
2025-09-12 10:00:02.018619+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.8
2025-09-12 10:30:01.687043+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.7
2025-09-12 11:00:01.735821+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.6
2025-09-12 11:30:01.914830+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.4
2025-09-12 12:00:01.996584+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.5
2025-09-12 12:30:02.321739+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.4
2025-09-12 13:00:02.338782+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.5
2025-09-12 13:30:02.173361+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.5
2025-09-12 14:00:03.034172+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.9
2025-09-12 14:30:01.858326+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.7
2025-09-12 15:00:02.169737+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.0
2025-09-12 15:30:02.241863+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.6
2025-09-12 16:00:02.275797+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.9
2025-09-12 16:30:01.960396+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.0
2025-09-12 17:00:02.377870+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.1
2025-09-12 17:30:02.440835+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.5
2025-09-12 18:00:02.158576+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.1
2025-09-12 18:30:02.484327+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.1
2025-09-12 19:00:02.139317+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.1
2025-09-12 19:30:02.480050+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.2
2025-09-12 20:00:02.161771+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.2
2025-09-12 20:30:01.864262+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.2
2025-09-12 21:00:02.381371+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.8
2025-09-12 21:30:02.234866+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.2
2025-09-12 22:00:02.295422+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.4
2025-09-12 22:30:02.328141+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.5
2025-09-12 23:00:02.031780+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.7
2025-09-12 23:30:02.099835+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.6
2025-09-13 00:00:02.426091+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,29.4
2025-09-13 00:30:02.335550+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.5
